"StatenIsland","Bronx","Brooklyn","Manhattan","Queens","pape_metric","pape_metric_sd"
"combo","combo","cons","cons","combo",-0.00287406966531115,0.00257641583246284
"plan","plan","combo","cons","combo",0.00501191017335612,0.00278927291343448
"cons","plan","combo","cons","combo",0.0044079374818543,0.00279199247645181
"combo","plan","combo","cons","combo",0.00356578296811535,0.00273610024693375
"plan","cons","combo","cons","combo",0.00262199696166712,0.00266711715630981
"cons","cons","combo","cons","combo",0.00201802427016534,0.00257721831338363
"combo","cons","combo","cons","combo",0.00117586975642635,0.00256221725204606
"plan","combo","combo","cons","combo",0.00259872985934769,0.00234273472798261
"cons","combo","combo","cons","combo",0.00199475716784587,0.00229103180994692
"combo","combo","combo","cons","combo",0.00115260265410695,0.00212431902685269
"plan","plan","plan","combo","combo",0.00249694715880141,0.0025272301162012
"cons","plan","plan","combo","combo",0.00189297446729965,0.00263300263314995
"combo","plan","plan","combo","combo",0.00105081995356067,0.00256234320398265
"plan","cons","plan","combo","combo",0.000107033947112433,0.00280108712256378
"cons","cons","plan","combo","combo",-0.000496938744389386,0.00281162970188935
"combo","cons","plan","combo","combo",-0.00133909325812834,0.00278747947947658
"plan","combo","plan","combo","combo",8.37668447929759e-05,0.00245769304900779
"cons","combo","plan","combo","combo",-0.000520205846708815,0.00251620906814797
"combo","combo","plan","combo","combo",-0.0013623603604478,0.00235310218741216
"plan","plan","cons","combo","combo",-0.000185487120094835,0.00281292713984198
"cons","plan","cons","combo","combo",-0.00078945981159664,0.00280458659191355
"combo","plan","cons","combo","combo",-0.00163161432533559,0.00278956857515996
"plan","cons","cons","combo","combo",-0.00257540033178382,0.0026471034057723
"cons","cons","cons","combo","combo",-0.00317937302328563,0.00254433979742222
"combo","cons","cons","combo","combo",-0.00402152753702458,0.00257323382689183
"plan","combo","cons","combo","combo",-0.00259866743410325,0.00251654139691165
"cons","combo","cons","combo","combo",-0.00320264012560506,0.00245588468894621
"combo","combo","cons","combo","combo",-0.00404479463934402,0.00234951877845898
"plan","plan","combo","combo","combo",0.00384118519932324,0.00232836775434844
"cons","plan","combo","combo","combo",0.00323721250782147,0.00237855635042109
"combo","plan","combo","combo","combo",0.00239505799408252,0.00217468661369251
"plan","cons","combo","combo","combo",0.00145127198763428,0.00237645783738141
"cons","cons","combo","combo","combo",0.000847299296132477,0.00232317616032533
"combo","cons","combo","combo","combo",5.14478239355931e-06,0.00216812348972193
"plan","combo","combo","combo","combo",0.00142800488531484,0.00117230154485516
"cons","combo","combo","combo","combo",0.000824032193813067,0.00116437406801137
"combo","combo","combo","combo","combo",-1.81223199258733e-05,1.95070975434139e-05
"plan","plan","plan","plan","plan",-1.81525221927277e-05,1.95050467336833e-05
