"StatenIsland","Bronx","Brooklyn","Manhattan","Queens","pape_metric","pape_metric_sd"
"control","cons","cons","cons","cons",0.00443002939001649,0.000822351294514079
"plan","combo","cons","cons","cons",0.000566417353640579,0.00233208066456615
"cons","combo","cons","cons","cons",-3.481814205694e-05,0.00216841274286682
"combo","combo","cons","cons","cons",-0.000879711147633459,0.00232339080293316
"control","combo","cons","cons","cons",0.00439521124795952,0.0022679666377342
"plan","control","cons","cons","cons",-0.000314152269797447,0.00171562713791228
"cons","control","cons","cons","cons",-0.000915387765494966,0.00148552686738577
"combo","control","cons","cons","cons",-0.00176028077107149,0.00182483946485708
"control","control","cons","cons","cons",0.00351464162452151,0.00159669378271411
"plan","plan","combo","cons","cons",0.00699208898574457,0.00277994847481213
"cons","plan","combo","cons","cons",0.00639085349004701,0.00274397012184948
"combo","plan","combo","cons","cons",0.00554596048447055,0.00279434530794671
"control","plan","combo","cons","cons",0.0108208828800635,0.00277271416141182
"plan","cons","combo","cons","cons",0.00461371927812165,0.0024913100372041
"cons","cons","combo","cons","cons",0.00401248378242409,0.00234973315822879
"combo","cons","combo","cons","cons",0.00316759077684764,0.00245603746397649
"control","cons","combo","cons","cons",0.00844251317244058,0.00243139839296359
"plan","combo","combo","cons","cons",0.00457890113606472,0.00265987812079046
"cons","combo","combo","cons","cons",0.00397766564036717,0.00257321827095971
"combo","combo","combo","cons","cons",0.00313277263479068,0.00254427355867923
"control","combo","combo","cons","cons",0.00840769503038366,0.00260384793359594
"plan","control","combo","cons","cons",0.00369833151262669,0.00265464778520388
"cons","control","combo","cons","cons",0.00309709601692915,0.00256781142532487
"combo","control","combo","cons","cons",0.00225220301135268,0.00262157379954677
"control","control","combo","cons","cons",0.00752712540694565,0.00257938159699271
"plan","plan","control","cons","cons",0.00289123592099292,0.00217405402693308
"cons","plan","control","cons","cons",0.00229000042529536,0.00212785559167353
"combo","plan","control","cons","cons",0.00144510741971886,0.00231687966080115
"control","plan","control","cons","cons",0.00672002981531188,0.00213632350110375
"plan","cons","control","cons","cons",0.000512866213369989,0.00179025782804811
"cons","cons","control","cons","cons",-8.83692823275652e-05,0.00158733843407557
"combo","cons","control","cons","cons",-0.00093326228790405,0.00189517431574152
"control","cons","control","cons","cons",0.00434166010768896,0.00166962044362797
"plan","combo","control","cons","cons",0.000478048071313063,0.00255749408652371
"cons","combo","control","cons","cons",-0.000123187424384484,0.0024672406966376
"combo","combo","control","cons","cons",-0.000968080429960976,0.00254957263079812
"control","combo","control","cons","cons",0.00430684196563204,0.00247454750156401
"plan","control","control","cons","cons",-0.000402521552124991,0.00188516709427192
"cons","control","control","cons","cons",-0.00100375704782254,0.00176078267422947
"combo","control","control","cons","cons",-0.00184865005339903,0.00198507369371629
"control","control","control","cons","cons",0.00342627234219398,0.00174282713537611
"plan","plan","plan","combo","cons",0.00446658096655591,0.00255703490779064
"cons","plan","plan","combo","cons",0.00386534547085843,0.00262112918980508
"combo","plan","plan","combo","cons",0.00302045246528189,0.0026629286802698
"control","plan","plan","combo","cons",0.00829537486087486,0.00260918276693002
"plan","cons","plan","combo","cons",0.00208821125893304,0.00267257669050279
"cons","cons","plan","combo","cons",0.00148697576323549,0.00264346715187096
"combo","cons","plan","combo","cons",0.000642082757659001,0.00272775914418981
"control","cons","plan","combo","cons",0.00591700515325198,0.00267531596334943
"plan","combo","plan","combo","cons",0.0020533931168761,0.00279826125609096
"cons","combo","plan","combo","cons",0.00145215762117861,0.00281200976400808
"combo","combo","plan","combo","cons",0.000607264615602076,0.00277509492457183
"control","combo","plan","combo","cons",0.00588218701119504,0.00280087761147701
"plan","control","plan","combo","cons",0.00117282349343805,0.00266278245734304
"cons","control","plan","combo","cons",0.000571587997740555,0.00267722678730639
"combo","control","plan","combo","cons",-0.000273305007835993,0.00271816375467449
"control","control","plan","combo","cons",0.005001617387757,0.00264689287049023
"plan","plan","cons","combo","cons",0.00179832611000008,0.00264987715880439
"cons","plan","cons","combo","cons",0.00119709061430255,0.00260020686067148
"combo","plan","cons","combo","cons",0.000352197608726026,0.00269537264584982
"control","plan","cons","combo","cons",0.005627120004319,0.00264228674731502
"plan","cons","cons","combo","cons",-0.000580043597622828,0.00229379335218883
"cons","cons","cons","combo","cons",-0.00118127909332038,0.00212463559475244
"combo","cons","cons","combo","cons",-0.00202617209889687,0.0022912692620765
"control","cons","cons","combo","cons",0.00324875029669611,0.00222857810865532
"plan","combo","cons","combo","cons",-0.000614861739679747,0.00266096710611701
